x,y
102.23,1000000
108.42,1180000
105.19,1200000
105.19,1200000
102.23,1250000
88.96,800000
88.96,800000
88.96,800000
125.14,1050000
127.73,1400000
110.91,1400000
131.04,1500000
159.35,1700000
35.70,265000
67.01,520000
66.37,600000
86.59,750000
63.27,460000
63.27,460000
66.91,499000
66.91,499000
64.72,504000
71.64,520000
70.09,520000
73.64,572000
73.64,572000
73.43,572000
84.86,616000
83.93,616000
83.93,616000
105.47,818000
105.47,818000
108.99,863000
131.98,997000
152.11,1154000
144.92,1512000
228.95,1770000
64.56,550000
94.92,860000
58.98,550000
62.57,580000
79.01,800000
94.09,880000
94.09,920000
107.38,1020000
166.62,1800000
35.61,270000
42.71,330000
47.77,340000
56.34,360000
56.03,390000
47.43,390000
56.34,410000
47.43,410000
59.34,450000
63.15,480000
70.11,550000
73.90,630000
88.64,750000
36.14,330000
72.21,600000
70.07,620000
85.34,740000
83.09,750000
85.3,830000
85.34,900000
115.41,1300000
135.21,1500000